Country Name,Capital,Currency
Singapore,Singapore,SGD
Saint Helena,Jamestown,SHP
Slovenia,Ljubljana,EUR
Svalbard and Jan Mayen,Longyearbyen,NOK
Slovakia,Bratislava,EUR
Sierra Leone,Freetown,SLL
San Marino,City of San Marino,EUR
Senegal,Dakar,XOF
Somalia,Mogadishu,SOS
Suriname,Paramaribo,SRD
South Sudan,Juba,SSP
São Tomé and Príncipe,São Tomé,STN
El Salvador,San Salvador,"SVC,USD"
Sint Maarten,Philipsburg,ANG
Syria,Damascus,SYP
Swaziland,Lobamba,SZL
Turks and Caicos Islands,Cockburn Town,USD
Chad,N'Djamena,XAF
French Southern Territories,Port-aux-Français,EUR
Togo,Lomé,XOF
Thailand,Bangkok,THB
Tajikistan,Dushanbe,TJS
Tokelau,Fakaofo,NZD
East Timor,Dili,USD
Turkmenistan,Ashgabat,TMT
Tunisia,Tunis,TND
Tonga,Nuku'alofa,TOP
Turkey,Ankara,TRY
Trinidad and Tobago,Port of Spain,TTD
Tuvalu,Funafuti,AUD
Taiwan,Taipei,TWD
Tanzania,Dodoma,TZS
Ukraine,Kyiv,UAH
Uganda,Kampala,UGX
U.S. Minor Outlying Islands,,USD
United States,Washington D.C.,"USD,USN,USS"
Uruguay,Montevideo,"UYI,UYU"
Uzbekistan,Tashkent,UZS
Vatican City,Vatican City,EUR
Saint Vincent and the Grenadines,Kingstown,XCD
Venezuela,Caracas,VES
British Virgin Islands,Road Town,USD
U.S. Virgin Islands,Charlotte Amalie,USD
Vietnam,Hanoi,VND
Vanuatu,Port Vila,VUV
Wallis and Futuna,Mata-Utu,XPF
Samoa,Apia,WST
Kosovo,Pristina,EUR
Yemen,Sana'a,YER
Mayotte,Mamoudzou,EUR
South Africa,Pretoria,ZAR
Zambia,Lusaka,ZMW
Zimbabwe,Harare,"USD,ZAR,BWP,GBP,AUD,CNY,INR,JPY"
